"skill","avg_salary","total_jobs"
"GraphQL","971748.0","5"
"Django","948555.0","4"
"Node.js","427545.63636363635","11"
"MongoDB","371002.5","12"
"Kafka","356172.0","14"
"Rust","355830.0","4"
"TypeScript","283938.8461538461","26"
"AWS","257484.0975609756","41"
"PHP","223500.0","4"
"Spring","215598.2142857143","28"
"Go","215229.2","10"
"Prometheus","213047.25","8"
"Snowflake","206390.0","6"
"Kotlin","203531.77777777778","9"
"Docker","200500.5806451613","31"
"Machine Learning","199959.0","10"
"Microservices","194238.26625","32"
"Grafana","189502.0","9"
"Java","188299.0378571429","56"
"MLOps","187060.0","3"
